Ticker,Price,Chg%,Surx,Short%,Above_MA200,Dist_52W_High%,Dist_MA200_%,Dist_52W_Low%,RSI_14
CHAI,0.4,56.86,608.74,58.09,0,-96.89,-70.85,56.86,56.45
FNGR,0.4,130.06,277.51,56.04,0,-81.23,-56.57,145.68,63.6
BTAI,0.18,-74.83,53.3,61.33,0,-95.72,-86.88,0.0,21.68
EPOW,0.5,11.61,30.76,50.52,0,-64.29,-34.6,23.46,52.6
WHLR,1.07,-4.46,19.6,52.64,0,-99.87,-96.86,199.72,60.96
WCT,1.09,45.53,10.61,56.5,0,-94.68,-76.49,45.53,57.76
AFRM,77.76,0.35,9.17,50.36,1,-15.64,16.9,82.84,53.35
SOLS,63.53,12.76,8.14,30.87,0,-28.2,-5.8,53.83,57.38
ESI,34.93,-4.35,7.77,30.31,1,-28.84,0.22,53.04,38.59
FINV,3.4,-15.42,6.99,70.83,0,-56.17,-30.38,0.0,15.31
PYPL,53.66,-12.71,5.83,48.33,1,-28.9,5.01,38.18,35.0
VISN,6.06,-8.6,5.04,84.96,1,-17.47,3.63,45.72,40.71
SCHP,25.93,-0.42,4.93,17.91,0,-1.09,-0.09,1.4,46.42
ESTC,99.91,19.31,4.77,45.21,1,0.0,56.63,130.74,77.48
GAP,23.48,12.94,4.74,70.68,0,-18.07,-0.81,27.96,71.12
PD,13.83,9.5,4.59,60.29,1,-19.45,43.27,141.36,75.46
PCG,16.6,-7.52,4.58,28.81,0,-12.63,-0.99,16.18,38.84
NCPL,0.69,28.39,4.57,52.84,1,-72.76,8.25,203.51,70.56
DDC,0.41,-23.43,4.49,45.3,0,-97.02,-78.32,5.87,39.05
BZFD,1.24,11.71,4.44,72.22,1,-40.67,19.84,118.69,57.72
TENB,37.67,0.13,4.37,67.3,1,-11.68,45.71,134.85,57.24
ERY,9.32,-1.17,4.26,35.18,0,-57.43,-30.79,3.79,37.79
BEKE,18.32,3.33,4.24,57.5,1,-8.35,10.25,28.47,64.07
GSG,33.39,-0.06,4.24,47.14,1,-3.97,16.12,48.73,59.92
SWVL,3.12,41.18,4.22,51.98,1,-19.59,74.54,136.36,88.57
FLTR,25.6,0.04,4.2,89.09,1,0.0,1.87,4.89,72.39
SPDW,51.83,-0.4,4.18,9.95,1,-0.9,9.31,29.38,56.03
ACM,69.17,4.42,4.11,75.17,0,-47.93,-18.65,13.32,54.32
LPTH,11.23,-18.56,4.08,35.35,0,-38.13,-5.04,128.72,42.47
GPRE,14.66,4.42,3.96,40.56,1,-23.76,3.21,66.78,41.95
SBS,4.87,1.04,3.9,86.13,0,-31.23,-12.29,10.64,43.46
BBW,29.85,4.96,3.82,25.94,0,-59.84,-31.11,4.96,34.05
BJDX,0.9,-1.1,3.67,56.87,0,-93.57,-65.15,4.65,37.25
DBA,29.19,1.28,3.62,57.46,1,0.0,9.25,17.77,72.83
GDXD,16.69,12.01,3.61,47.76,0,-94.94,-68.82,16.71,32.82
AZIO,1.31,-2.96,3.58,55.51,0,-67.89,-20.14,264.9,43.82
FNDA,37.33,-0.77,3.58,57.17,1,-3.09,8.01,28.42,43.94
FNDB,31.67,0.03,3.57,49.24,1,-0.81,10.66,28.19,56.75
RBRK,93.05,-13.05,3.52,56.22,1,-13.05,35.93,112.39,51.03
HODL,21.91,-3.01,3.49,59.15,1,-38.26,2.98,31.91,71.03
ENGS,2.59,0.0,3.42,55.24,1,-78.81,69.46,304.69,42.28
HQY,96.37,3.19,3.38,71.32,1,-9.76,7.73,31.64,39.93
PHGE,0.14,4.55,3.38,51.51,0,-98.85,-94.5,5.34,30.39
CRM,256.0,1.57,3.35,44.83,1,-3.35,28.25,70.53,80.8
UPXI,1.08,-6.49,3.33,41.12,0,-85.97,-21.87,91.15,61.5
GLL,21.72,6.78,3.33,49.09,0,-46.82,-4.12,35.67,44.08
