ticker,sector,sub_industry,20R,60R,120R,Accel,Rank,RSI14,OffHigh,Entry_Momentum,Entry_Pullback,Price,MktCap,Is_New,as_of
EPAM,Technology,Computers,97.1,29.4,2.5,94.6,32.2,66.3,-53.2,True,False,103.66,5415659981.984894,False,2026-07-30
GTM,Technology,Software,94.4,1.2,1.1,93.3,19.8,56.8,-72.8,True,False,3.32,978463853.2054486,False,2026-07-30
CTSH,Technology,Computers,99.4,52.2,7.9,91.6,43.9,67.8,-37.1,True,False,53.9,24276690850.251995,False,2026-07-30
ACN,Technology,Computers,98.5,26.2,8.1,90.4,33.4,60.9,-42.2,True,False,163.29,99924022870.11195,False,2026-07-30
GLOB,Technology,Computers,93.6,24.8,4.2,89.3,30.3,59.7,-59.4,True,False,36.39,1571304016.4852905,False,2026-07-30
INTU,Technology,Software,96.0,10.7,8.7,87.3,27.0,59.0,-60.5,True,False,315.5,86300923500.0,False,2026-07-30
KD,Technology,Computers,89.5,29.6,3.5,86.0,31.1,63.5,-64.4,True,False,13.51,2979187530.5523834,False,2026-07-30
HLNE,Financial,Diversified Finan Serv,90.0,38.0,7.0,83.1,36.0,62.1,-43.6,True,False,88.95,3886880394.446228,False,2026-07-30
DXC,Technology,Computers,95.3,36.7,12.9,82.4,38.9,65.8,-27.2,True,False,11.24,1821782119.0227718,False,2026-07-30
CLF,Basic Materials,Iron/Steel,97.9,72.2,16.7,81.3,55.1,58.8,-28.1,True,False,11.63,6635380811.903127,False,2026-07-30
ULTA,"Consumer, Cyclical",Retail,90.4,41.0,10.4,80.0,38.7,68.1,-26.9,True,False,516.73,22213865833.39502,False,2026-07-30
LCID,"Consumer, Cyclical",Auto Manufacturers,97.5,85.2,18.3,79.2,60.9,65.1,-67.5,True,False,8.12,3168885236.2986526,False,2026-07-30
LDOS,Technology,Computers,82.4,9.5,3.3,79.1,21.6,52.3,-43.2,False,True,112.41,14139544693.700134,False,2026-07-30
MAT,"Consumer, Cyclical",Toys/Games/Hobbies,86.1,46.8,8.3,77.8,39.2,63.4,-31.4,True,False,15.21,4419554501.084328,False,2026-07-30
COTY,"Consumer, Non-cyclical",Cosmetics/Personal Care,95.6,67.7,18.5,77.1,53.6,64.6,-46.9,True,False,2.69,2368454768.6006937,False,2026-07-30
AMTM,Technology,Computers,78.7,16.1,2.8,75.8,23.3,50.2,-42.1,False,True,21.73,5304083063.384308,True,2026-07-30
BAH,"Consumer, Non-cyclical",Commercial Services,91.0,21.4,15.4,75.6,32.9,51.7,-37.3,False,True,68.31,8216666211.965515,False,2026-07-30
VNT,Industrial,Electronics,87.7,26.1,13.2,74.6,33.2,62.6,-26.8,True,False,31.89,4490111914.0625,False,2026-07-30
GAP,"Consumer, Cyclical",Retail,83.1,19.4,8.9,74.2,28.0,54.2,-28.9,False,True,20.38,7336370352.433657,False,2026-07-30
INSP,"Consumer, Non-cyclical",Healthcare-Products,84.5,25.1,10.5,74.0,31.1,52.7,-65.3,False,True,50.02,1441233926.2496147,False,2026-07-30
BSX,"Consumer, Non-cyclical",Healthcare-Products,75.9,13.0,2.7,73.3,21.5,54.5,-57.5,False,True,46.0,68372338234.0,True,2026-07-30
TTEK,Industrial,Environmental Control,87.1,47.4,14.0,73.1,42.0,60.0,-23.5,True,False,32.45,8421576680.551632,False,2026-07-30
T,Communications,Telecommunications,92.3,24.0,20.2,72.0,36.1,55.1,-18.3,True,False,23.21,159043864662.95355,False,2026-07-30
WS,BamHI,鋼鐵金屬 (Steel & Metals),83.2,27.7,11.4,71.8,32.3,46.1,-27.2,False,True,35.13,1753700122.0606308,True,2026-07-30
HII,Industrial,Shipbuilding,92.0,21.3,20.6,71.4,35.2,65.4,-29.2,True,False,319.9,12605348636.596893,True,2026-07-30
UHS,"Consumer, Non-cyclical",Healthcare-Services,80.7,38.4,9.9,70.8,35.5,60.7,-32.9,True,False,163.29,9884980348.35698,False,2026-07-30
CMC,BamHI,鋼鐵金屬 (Steel & Metals),88.7,46.5,18.6,70.2,43.8,52.1,-17.3,False,True,68.41,7567811162.468414,False,2026-07-30
BR,Technology,Software,84.0,44.1,14.6,69.4,40.3,58.3,-40.8,True,False,154.77,17900435120.835556,False,2026-07-30
ACM,Industrial,Engineering&Construction,78.2,17.4,8.8,69.4,26.1,55.4,-46.0,True,False,71.76,9222805013.754578,True,2026-07-30
OWL,Financial,Diversified Finan Serv,95.1,47.5,26.2,69.0,48.5,63.0,-46.4,True,False,10.16,6866152412.960735,False,2026-07-30
PTC,Technology,Software,90.9,38.9,22.3,68.6,42.7,64.6,-37.1,True,False,136.3,15743439665.7957,False,2026-07-30
DPZ,"Consumer, Cyclical",Retail,93.5,57.5,25.4,68.1,51.9,65.9,-24.5,True,False,352.25,11653041153.75,False,2026-07-30
ADBE,Technology,Software,95.1,36.3,27.3,67.7,44.5,58.8,-32.5,True,False,247.9,98540247573.85254,False,2026-07-30
ICE,Financial,Diversified Finan Serv,97.8,42.2,30.1,67.7,48.4,74.2,-16.0,True,False,156.27,88372640009.78004,False,2026-07-30
CHWY,Communications,Internet,86.3,28.3,19.1,67.3,36.2,60.8,-46.1,True,False,22.82,9343060278.793648,False,2026-07-30
DJT,Communications,Internet,99.0,71.0,32.3,66.7,61.1,65.8,-43.9,True,False,10.38,2874780766.3348503,False,2026-07-30
LPLA,Financial,Diversified Finan Serv,93.1,55.1,26.4,66.7,51.2,66.8,-14.7,True,False,339.17,27127788039.358612,False,2026-07-30
G,Technology,Computers,98.4,50.6,32.0,66.4,52.7,67.5,-26.4,True,False,35.33,5988665308.67569,False,2026-07-30
DOX,Technology,Computers,79.3,17.2,13.1,66.2,28.0,56.8,-36.1,True,False,55.28,5868745790.405273,False,2026-07-30
DG,"Consumer, Cyclical",Retail,87.2,69.4,22.9,64.4,54.3,61.0,-17.6,True,False,127.5,28124797492.5,False,2026-07-30
MCK,"Consumer, Non-cyclical",Pharmaceuticals,89.6,57.4,25.4,64.3,51.0,62.6,-13.0,True,False,865.51,101331960218.28735,False,2026-07-30
ALLE,Industrial,Electronics,89.0,82.5,24.8,64.2,60.7,69.6,-11.9,True,False,157.06,13355877401.55066,False,2026-07-30
MNDY,BamHI,AI 應用軟體 (AI Apps),93.0,73.8,29.4,63.6,59.9,61.0,-68.3,True,False,88.16,3726886485.8524475,False,2026-07-30
MDT,"Consumer, Non-cyclical",Healthcare-Products,80.1,66.1,17.6,62.5,49.5,59.4,-16.6,True,False,85.71,109712672062.98363,False,2026-07-30
FIS,Technology,Software,89.7,38.2,28.0,61.7,44.4,65.1,-41.1,True,False,46.0,23776440946.0,False,2026-07-30
CG,Financial,Private Equity,77.3,25.5,16.0,61.4,32.1,52.4,-33.2,False,True,45.36,16328440228.430954,True,2026-07-30
REGN,"Consumer, Non-cyclical",Biotechnology,95.7,51.1,34.3,61.4,53.3,74.5,-8.9,True,False,738.34,77406853702.38135,False,2026-07-30
SAP,BamHI,AI 應用軟體 (AI Apps),90.6,57.8,29.5,61.1,53.0,63.1,-37.7,True,False,180.88,208772467119.92285,False,2026-07-30
GEHC,"Consumer, Non-cyclical",Healthcare-Products,79.2,75.6,18.2,61.0,53.4,63.0,-20.6,True,False,69.94,31590937567.62964,False,2026-07-30
NU,Financial,Banks,80.1,46.4,19.3,60.8,42.3,59.2,-22.8,True,False,14.49,69993720313.68982,True,2026-07-30
AWI,Industrial,Building Materials,85.2,56.6,25.2,60.0,49.7,66.2,-13.9,True,False,174.37,7369368763.258545,False,2026-07-30
MOS,Basic Materials,Chemicals,76.5,42.0,16.5,60.0,38.7,54.6,-34.9,False,True,22.77,7237368229.378647,True,2026-07-30
TAP,"Consumer, Non-cyclical",Beverages,75.1,48.2,16.1,59.1,40.7,54.5,-21.9,False,True,41.55,7792758864.909668,False,2026-07-30
JKHY,Technology,Software,80.5,44.4,21.5,59.0,42.4,58.6,-19.3,True,False,154.24,10958872697.493591,False,2026-07-30
NIQ,"Consumer, Non-cyclical",Commercial Services,95.8,61.3,37.4,58.4,58.7,62.1,-39.7,True,False,11.38,3358651605.735674,False,2026-07-30
WDAY,Technology,Software,97.0,88.0,39.3,57.8,70.3,60.9,-36.2,True,False,158.11,39048976915.43065,False,2026-07-30
GGG,Industrial,Machinery-Diversified,78.3,48.0,20.5,57.7,43.1,61.9,-15.0,True,False,79.99,12954686035.789307,True,2026-07-30
MKTX,"Consumer, Non-cyclical",Commercial Services,100.0,54.7,42.4,57.6,58.8,85.5,-21.1,False,False,162.76,5784401175.055954,False,2026-07-30
COR,"Consumer, Non-cyclical",Pharmaceuticals,80.4,47.9,23.2,57.2,44.5,60.2,-16.3,True,False,312.23,60747801901.311646,False,2026-07-30
FOXA,Communications,Media,81.2,30.4,24.3,56.9,38.1,57.9,-22.3,True,False,58.82,24698556222.49649,False,2026-07-30
FOX,Communications,Media,79.7,28.8,22.9,56.8,36.6,56.2,-22.3,True,False,52.34,21977600189.751755,False,2026-07-30
LVS,"Consumer, Cyclical",Lodging,79.2,34.5,22.4,56.8,38.6,66.6,-27.4,True,False,49.87,32300857354.260498,True,2026-07-30
SF,Financial,Diversified Finan Serv,92.4,61.6,36.2,56.2,57.6,66.1,-6.1,True,False,82.63,12525798653.648376,False,2026-07-30
ABT,"Consumer, Non-cyclical",Healthcare-Products,92.8,85.5,36.9,56.0,67.5,67.1,-20.9,True,False,105.61,182745780946.70215,False,2026-07-30
FRPT,"Consumer, Cyclical",Retail,80.8,32.8,25.0,55.8,39.3,60.5,-29.0,True,False,60.74,2984933207.824543,True,2026-07-30
FCN,"Consumer, Non-cyclical",Commercial Services,83.9,36.4,28.2,55.8,42.6,56.3,-12.3,True,False,164.05,4945130346.142319,False,2026-07-30
TEAM,Technology,Software,95.5,54.0,39.8,55.7,56.6,56.4,-50.2,True,False,98.12,24899703316.43425,False,2026-07-30
ITRI,BamHI,科技儀器 (Scientific Instruments),94.5,80.4,38.9,55.5,66.7,66.1,-28.6,True,False,98.85,4328320467.236717,False,2026-07-30
CBRE,Financial,Real Estate,79.7,56.4,24.7,55.0,48.3,64.9,-12.9,True,False,149.46,43764367863.27162,False,2026-07-30
BFAM,"Consumer, Non-cyclical",Commercial Services,75.6,34.2,21.3,54.3,37.3,57.1,-37.7,True,False,77.95,4100690155.7071686,False,2026-07-30
CRM,Technology,Software,86.2,36.6,32.6,53.5,44.9,57.8,-31.8,True,False,180.71,148001495498.65723,False,2026-07-30
ADT,"Consumer, Non-cyclical",Commercial Services,88.1,57.3,35.2,52.8,54.6,71.3,-13.1,True,False,7.51,5506687308.216986,False,2026-07-30
SYK,"Consumer, Non-cyclical",Healthcare-Products,86.8,84.0,34.2,52.6,64.6,62.7,-12.2,True,False,348.04,133424882882.26776,True,2026-07-30
EFX,"Consumer, Non-cyclical",Commercial Services,81.1,47.2,28.7,52.4,46.6,53.2,-32.3,False,True,176.13,20692615306.13672,False,2026-07-30
BJ,"Consumer, Cyclical",Retail,90.8,50.2,38.4,52.4,53.6,66.2,-10.5,True,False,98.45,12571472630.458878,False,2026-07-30
HAS,"Consumer, Cyclical",Toys/Games/Hobbies,93.7,44.2,41.6,52.1,53.1,68.8,-9.4,True,False,94.53,13375114942.04187,False,2026-07-30
LMT,Industrial,Aerospace/Defense,84.3,68.5,32.6,51.8,57.3,65.3,-14.6,True,False,574.11,132499275824.10608,False,2026-07-30
FNF,Financial,Insurance,81.1,47.7,29.7,51.4,47.2,58.0,-8.0,True,False,52.06,14012341902.031631,False,2026-07-30
ASAN,BamHI,AI 應用軟體 (AI Apps),81.5,65.2,30.5,51.1,54.6,56.4,-48.2,True,False,7.95,1832553080.6837397,False,2026-07-30
WTW,Financial,Insurance,97.4,93.2,46.5,50.9,75.3,80.2,-3.0,False,False,336.05,31739241181.870605,False,2026-07-30
AVY,"Consumer, Non-cyclical",Household Products/Wares,77.5,64.2,27.2,50.3,52.0,66.2,-10.5,True,False,174.82,13372049665.932312,True,2026-07-30
